question_id,participant_id,time,correct,type,size,layout,domain_question
9,19,6.879,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
29,19,25.728,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
8,19,22.016,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
23,19,26.942,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
10,19,47.911,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
16,19,26.081,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
31,19,18.983,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
18,19,18.559,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
17,19,14.848,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
21,19,14.928,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
28,19,29.256,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
14,19,11.415,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
36,19,49.511,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
35,19,20.199,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
19,20,12.502,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
35,20,8,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
22,20,15.192,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
36,20,56.586,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
2,20,22.945,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
12,20,21.672,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
17,20,8.84,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
21,20,13.895,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
14,20,8.72,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
13,20,17.183,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
29,20,22.519,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
10,20,24.688,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
6,20,28.376,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
27,20,12.616,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
5,20,10.943,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
7,20,12.56,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
20,20,14.071,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
23,20,6.622,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
28,20,26.831,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
4,20,9.015,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
18,20,19.615,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
31,20,13.798,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
25,20,26.36,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
9,20,5.839,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
24,20,29.839,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
3,20,9.119,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
26,20,27.983,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
32,20,42.207,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
11,20,7.656,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
34,20,43.086,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
33,20,9.832,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
